F = 183.0
tildeV = [2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
opening hub costs
1:25.0 2:25.0 3:25.0 4:25.0 5:25.0 6:25.0 7:25.0 8:25.0 9:25.0 10:25.0 11:25.0 12:25.0 13:25.0 14:25.0 15:25.0 16:25.0 17:25.0 18:25.0 19:25.0 20:25.0 21:25.0 22:25.0 23:25.0 24:25.0 25:25.0 
c = 
      1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   
1     .   270  114  279  105  150   84  150  111  225  243   24  165  165  159  156  171  162  285   39  213   39  300  201  108 
2     .    .   180  195  324  138  222  123  180   48   51  279  162  171  144  261  234  147  189  234   75  240  186  129  174 
3     .    .    .   264  204  111  123   81    3  138  168  132  153  156  129  204   90   48  264   90  111   75  276  168   18 
4     .    .    .    .   258  150  195  186  261  183  150  267  117  114  135  159  351  267   12  243  228  270   30   99  246 
5     .    .    .    .    .   186  102  207  201  279  282   81  174  168  183  102  273  249  267  117  282  138  288  216  195 
6     .    .    .    .    .    .    84   39  111   93   96  150   45   51   18  129  201  123  153  111  114  132  165   57   96 
7     .    .    .    .    .    .    .   105  120  177  183   75   84   81   87   84  207  162  201   54  183   87  216  126  108 
8     .    .    .    .    .    .    .    .    81   75   93  156   84   93   57  165  165   84  186  111   78  120  195   87   66 
9     .    .    .    .    .    .    .    .    .   138  168  129  150  156  126  201   93   51  261   87  111   72  273  165   15 
10    .    .    .    .    .    .    .    .    .    .    39  231  126  135  102  222  201  111  177  186   48  195  180   99  129 
11    .    .    .    .    .    .    .    .    .    .    .   246  114  123   99  213  237  147  144  201   87  216  144   78  156 
12    .    .    .    .    .    .    .    .    .    .    .    .   159  156  156  135  192  180  276   48  225   60  291  198  123 
13    .    .    .    .    .    .    .    .    .    .    .    .    .     9   27   96  240  168  120  129  153  153  135   42  135 
14    .    .    .    .    .    .    .    .    .    .    .    .    .    .    36   87  246  174  120  129  162  156  135   51  141 
15    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   120  219  141  135  120  126  144  150   42  111 
16    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   291  237  168  135  243  168  186  135  189 
17    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    90  351  162  156  135  360  252  108 
18    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   267  135   72  123  273  171   57 
19    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   249  225  276   18   99  249 
20    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   180   33  264  162   78 
21    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   177  228  138  108 
22    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   291  186   72 
23    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   108  258 
24    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .   150 
25    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .    .  

d = 
 1    2    3    4    5    6    7    8    9    10   11   12   13   14   15   16   17   18   19   20   21   22   23   24   25   
1     .  630  266  651  245  350  196  350  259  525  567   56  385  385  371  364  399  378  665   91  497   91  700  469  252 
2    630   .  420  455  756  322  518  287  420  112  119  651  378  399  336  609  546  343  441  546  175  560  434  301  406 
3    266  420   .  616  476  259  287  189    7  322  392  308  357  364  301  476  210  112  616  210  259  175  644  392   42 
4    651  455  616   .  602  350  455  434  609  427  350  623  273  266  315  371  819  623   28  567  532  630   70  231  574 
5    245  756  476  602   .  434  238  483  469  651  658  189  406  392  427  238  637  581  623  273  658  322  672  504  455 
6    350  322  259  350  434   .  196   91  259  217  224  350  105  119   42  301  469  287  357  259  266  308  385  133  224 
7    196  518  287  455  238  196   .  245  280  413  427  175  196  189  203  196  483  378  469  126  427  203  504  294  252 
8    350  287  189  434  483   91  245   .  189  175  217  364  196  217  133  385  385  196  434  259  182  280  455  203  154 
9    259  420    7  609  469  259  280  189   .  322  392  301  350  364  294  469  217  119  609  203  259  168  637  385   35 
10   525  112  322  427  651  217  413  175  322   .   91  539  294  315  238  518  469  259  413  434  112  455  420  231  301 
11   567  119  392  350  658  224  427  217  392   91   .  574  266  287  231  497  553  343  336  469  203  504  336  182  364 
12    56  651  308  623  189  350  175  364  301  539  574   .  371  364  364  315  448  420  644  112  525  140  679  462  287 
13   385  378  357  273  406  105  196  196  350  294  266  371   .   21   63  224  560  392  280  301  357  357  315   98  315 
14   385  399  364  266  392  119  189  217  364  315  287  364   21   .   84  203  574  406  280  301  378  364  315  119  329 
15   371  336  301  315  427   42  203  133  294  238  231  364   63   84   .  280  511  329  315  280  294  336  350   98  259 
